,YearSchluessel,Year,Stadt-/Landkreis,Verfügbares Einkommen je Einwohner in EUR,LAND_NAME,LAND_ABK
5154,200205154,2002,Kreis Kleve,15854.0,Nordrhein-Westfalen,NW
5154,200505154,2005,Kreis Kleve,16625.0,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,17235.0,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,19211.0,Nordrhein-Westfalen,NW
5154,201605154,2016,Kreis Kleve,19947.0,Nordrhein-Westfalen,NW
5158,200205158,2002,Kreis Mettmann,20218.0,Nordrhein-Westfalen,NW
5158,200505158,2005,Kreis Mettmann,21222.0,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,21666.0,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,23638.0,Nordrhein-Westfalen,NW
5158,201605158,2016,Kreis Mettmann,25021.0,Nordrhein-Westfalen,NW
5162,200205162,2002,Rhein-Kreis Neuss,19239.0,Nordrhein-Westfalen,NW
5162,200505162,2005,Rhein-Kreis Neuss,20591.0,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,21117.0,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,23141.0,Nordrhein-Westfalen,NW
5162,201605162,2016,Rhein-Kreis Neuss,24546.0,Nordrhein-Westfalen,NW
5166,200205166,2002,Kreis Viersen,17105.0,Nordrhein-Westfalen,NW
5166,200505166,2005,Kreis Viersen,18330.0,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,19128.0,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,21090.0,Nordrhein-Westfalen,NW
5166,201605166,2016,Kreis Viersen,22492.0,Nordrhein-Westfalen,NW
5170,200205170,2002,Kreis Wesel,16142.0,Nordrhein-Westfalen,NW
5170,200505170,2005,Kreis Wesel,17135.0,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,18149.0,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,20075.0,Nordrhein-Westfalen,NW
5170,201605170,2016,Kreis Wesel,21372.0,Nordrhein-Westfalen,NW
5314,200205314,2002,Bonn,18300.0,Nordrhein-Westfalen,NW
5314,200505314,2005,Bonn,20108.0,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,20971.0,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,22036.0,Nordrhein-Westfalen,NW
5314,201605314,2016,Bonn,23056.0,Nordrhein-Westfalen,NW
5315,200205315,2002,Köln,17722.0,Nordrhein-Westfalen,NW
5315,200505315,2005,Köln,19220.0,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,19341.0,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,20806.0,Nordrhein-Westfalen,NW
5315,201605315,2016,Köln,21608.0,Nordrhein-Westfalen,NW
5316,200205316,2002,Leverkusen,17153.0,Nordrhein-Westfalen,NW
5316,200505316,2005,Leverkusen,17451.0,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,17928.0,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,19928.0,Nordrhein-Westfalen,NW
5316,201605316,2016,Leverkusen,20884.0,Nordrhein-Westfalen,NW
5334,200205334,2002,Aachen,16365.0,Nordrhein-Westfalen,NW
5334,200505334,2005,Aachen,16964.0,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,17511.0,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,18744.0,Nordrhein-Westfalen,NW
5334,201605334,2016,Aachen,19781.0,Nordrhein-Westfalen,NW
5354,200205354,2002,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,200505354,2005,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201605354,2016,Kreis Aachen,,Nordrhein-Westfalen,NW
5358,200205358,2002,Kreis Düren,15760.0,Nordrhein-Westfalen,NW
5358,200505358,2005,Kreis Düren,16569.0,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,17557.0,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,19249.0,Nordrhein-Westfalen,NW
5358,201605358,2016,Kreis Düren,20526.0,Nordrhein-Westfalen,NW
5362,200205362,2002,Rhein-Erft-Kreis,17361.0,Nordrhein-Westfalen,NW
5362,200505362,2005,Rhein-Erft-Kreis,18051.0,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,18972.0,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,20842.0,Nordrhein-Westfalen,NW
5362,201605362,2016,Rhein-Erft-Kreis,21815.0,Nordrhein-Westfalen,NW
5366,200205366,2002,Kreis Euskirchen,15912.0,Nordrhein-Westfalen,NW
5366,200505366,2005,Kreis Euskirchen,16617.0,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,17588.0,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,19720.0,Nordrhein-Westfalen,NW
5366,201605366,2016,Kreis Euskirchen,20938.0,Nordrhein-Westfalen,NW
5370,200205370,2002,Kreis Heinsberg,14823.0,Nordrhein-Westfalen,NW
5370,200505370,2005,Kreis Heinsberg,15794.0,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,16550.0,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,18261.0,Nordrhein-Westfalen,NW
5370,201605370,2016,Kreis Heinsberg,19448.0,Nordrhein-Westfalen,NW
5374,200205374,2002,Oberbergischer Kreis,17207.0,Nordrhein-Westfalen,NW
5374,200505374,2005,Oberbergischer Kreis,18761.0,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,19574.0,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,21394.0,Nordrhein-Westfalen,NW
5374,201605374,2016,Oberbergischer Kreis,22691.0,Nordrhein-Westfalen,NW
5378,200205378,2002,Rheinisch-Bergischer Kreis,20108.0,Nordrhein-Westfalen,NW
5378,200505378,2005,Rheinisch-Bergischer Kreis,21060.0,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,21640.0,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,23962.0,Nordrhein-Westfalen,NW
5378,201605378,2016,Rheinisch-Bergischer Kreis,25295.0,Nordrhein-Westfalen,NW
5382,200205382,2002,Rhein-Sieg-Kreis,18368.0,Nordrhein-Westfalen,NW
5382,200505382,2005,Rhein-Sieg-Kreis,18837.0,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,19757.0,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,21862.0,Nordrhein-Westfalen,NW
5382,201605382,2016,Rhein-Sieg-Kreis,22975.0,Nordrhein-Westfalen,NW
5512,200205512,2002,Bottrop,15293.0,Nordrhein-Westfalen,NW
5512,200505512,2005,Bottrop,16020.0,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,16830.0,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,18715.0,Nordrhein-Westfalen,NW
5512,201605512,2016,Bottrop,19674.0,Nordrhein-Westfalen,NW
5513,200205513,2002,Gelsenkirchen,13941.0,Nordrhein-Westfalen,NW
5513,200505513,2005,Gelsenkirchen,14399.0,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,14601.0,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,15608.0,Nordrhein-Westfalen,NW
5513,201605513,2016,Gelsenkirchen,16203.0,Nordrhein-Westfalen,NW
5515,200205515,2002,Münster,17652.0,Nordrhein-Westfalen,NW
5515,200505515,2005,Münster,19753.0,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,20988.0,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,21176.0,Nordrhein-Westfalen,NW
5515,201605515,2016,Münster,22261.0,Nordrhein-Westfalen,NW
5554,200205554,2002,Kreis Borken,15830.0,Nordrhein-Westfalen,NW
5554,200505554,2005,Kreis Borken,16812.0,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,17857.0,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,20135.0,Nordrhein-Westfalen,NW
5554,201605554,2016,Kreis Borken,21531.0,Nordrhein-Westfalen,NW
5558,200205558,2002,Kreis Coesfeld,16569.0,Nordrhein-Westfalen,NW
5558,200505558,2005,Kreis Coesfeld,17556.0,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,18913.0,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,21281.0,Nordrhein-Westfalen,NW
5558,201605558,2016,Kreis Coesfeld,23009.0,Nordrhein-Westfalen,NW
5562,200205562,2002,Kreis Recklinghausen,15466.0,Nordrhein-Westfalen,NW
5562,200505562,2005,Kreis Recklinghausen,16224.0,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,16895.0,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,18554.0,Nordrhein-Westfalen,NW
5562,201605562,2016,Kreis Recklinghausen,19860.0,Nordrhein-Westfalen,NW
5566,200205566,2002,Kreis Steinfurt,15785.0,Nordrhein-Westfalen,NW
5566,200505566,2005,Kreis Steinfurt,16935.0,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,17903.0,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,20423.0,Nordrhein-Westfalen,NW
5566,201605566,2016,Kreis Steinfurt,21330.0,Nordrhein-Westfalen,NW
5570,200205570,2002,Kreis Warendorf,16388.0,Nordrhein-Westfalen,NW
5570,200505570,2005,Kreis Warendorf,17713.0,Nordrhein-Westfalen,NW
5570,200905570,2009,Kreis Warendorf,19352.0,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,21829.0,Nordrhein-Westfalen,NW
5570,201605570,2016,Kreis Warendorf,22576.0,Nordrhein-Westfalen,NW
5711,200205711,2002,Bielefeld,17620.0,Nordrhein-Westfalen,NW
5711,200505711,2005,Bielefeld,18380.0,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,18861.0,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,20589.0,Nordrhein-Westfalen,NW
5711,201605711,2016,Bielefeld,22659.0,Nordrhein-Westfalen,NW
5754,200205754,2002,Kreis Gütersloh,18788.0,Nordrhein-Westfalen,NW
5754,200505754,2005,Kreis Gütersloh,20172.0,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,21047.0,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,23379.0,Nordrhein-Westfalen,NW
5754,201605754,2016,Kreis Gütersloh,24271.0,Nordrhein-Westfalen,NW
5758,200205758,2002,Kreis Herford,17869.0,Nordrhein-Westfalen,NW
5758,200505758,2005,Kreis Herford,18738.0,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,19380.0,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,21031.0,Nordrhein-Westfalen,NW
5758,201605758,2016,Kreis Herford,22062.0,Nordrhein-Westfalen,NW
5762,200205762,2002,Kreis Höxter,15037.0,Nordrhein-Westfalen,NW
5762,200505762,2005,Kreis Höxter,16102.0,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,17194.0,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,19708.0,Nordrhein-Westfalen,NW
5762,201605762,2016,Kreis Höxter,21148.0,Nordrhein-Westfalen,NW
5766,200205766,2002,Kreis Lippe,17052.0,Nordrhein-Westfalen,NW
5766,200505766,2005,Kreis Lippe,18251.0,Nordrhein-Westfalen,NW
5766,200905766,2009,Kreis Lippe,19695.0,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,21016.0,Nordrhein-Westfalen,NW
5766,201605766,2016,Kreis Lippe,22239.0,Nordrhein-Westfalen,NW
5770,200205770,2002,Kreis Minden-Lübbecke,17280.0,Nordrhein-Westfalen,NW
5770,200505770,2005,Kreis Minden-Lübbecke,17905.0,Nordrhein-Westfalen,NW
5770,200905770,2009,Kreis Minden-Lübbecke,18908.0,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,20938.0,Nordrhein-Westfalen,NW
5770,201605770,2016,Kreis Minden-Lübbecke,22262.0,Nordrhein-Westfalen,NW
5774,200205774,2002,Kreis Paderborn,15387.0,Nordrhein-Westfalen,NW
5774,200505774,2005,Kreis Paderborn,16402.0,Nordrhein-Westfalen,NW
5774,200905774,2009,Kreis Paderborn,17586.0,Nordrhein-Westfalen,NW
5774,201305774,2013,Kreis Paderborn,19816.0,Nordrhein-Westfalen,NW
5774,201605774,2016,Kreis Paderborn,20913.0,Nordrhein-Westfalen,NW
5911,200205911,2002,Bochum,16117.0,Nordrhein-Westfalen,NW
5911,200505911,2005,Bochum,16850.0,Nordrhein-Westfalen,NW
5911,200905911,2009,Bochum,17315.0,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,18519.0,Nordrhein-Westfalen,NW
5911,201605911,2016,Bochum,19620.0,Nordrhein-Westfalen,NW
5913,200205913,2002,Dortmund,15199.0,Nordrhein-Westfalen,NW
5913,200505913,2005,Dortmund,15999.0,Nordrhein-Westfalen,NW
5913,200905913,2009,Dortmund,16588.0,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,17810.0,Nordrhein-Westfalen,NW
5913,201605913,2016,Dortmund,18946.0,Nordrhein-Westfalen,NW
5914,200205914,2002,Hagen,16561.0,Nordrhein-Westfalen,NW
5914,200505914,2005,Hagen,17407.0,Nordrhein-Westfalen,NW
5914,200905914,2009,Hagen,17869.0,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,18678.0,Nordrhein-Westfalen,NW
5914,201605914,2016,Hagen,19774.0,Nordrhein-Westfalen,NW
5915,200205915,2002,Hamm,14266.0,Nordrhein-Westfalen,NW
5915,200505915,2005,Hamm,14891.0,Nordrhein-Westfalen,NW
5915,200905915,2009,Hamm,15759.0,Nordrhein-Westfalen,NW
5915,201305915,2013,Hamm,17009.0,Nordrhein-Westfalen,NW
5915,201605915,2016,Hamm,18006.0,Nordrhein-Westfalen,NW
5916,200205916,2002,Herne,14747.0,Nordrhein-Westfalen,NW
5916,200505916,2005,Herne,15268.0,Nordrhein-Westfalen,NW
5916,200905916,2009,Herne,15897.0,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,16816.0,Nordrhein-Westfalen,NW
5916,201605916,2016,Herne,17579.0,Nordrhein-Westfalen,NW
5954,200205954,2002,Ennepe-Ruhr-Kreis,18810.0,Nordrhein-Westfalen,NW
5954,200505954,2005,Ennepe-Ruhr-Kreis,20273.0,Nordrhein-Westfalen,NW
5954,200905954,2009,Ennepe-Ruhr-Kreis,21439.0,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,22697.0,Nordrhein-Westfalen,NW
5954,201605954,2016,Ennepe-Ruhr-Kreis,24220.0,Nordrhein-Westfalen,NW
5958,200205958,2002,Hochsauerlandkreis,16968.0,Nordrhein-Westfalen,NW
5958,200505958,2005,Hochsauerlandkreis,18409.0,Nordrhein-Westfalen,NW
5958,200905958,2009,Hochsauerlandkreis,19595.0,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,21849.0,Nordrhein-Westfalen,NW
5958,201605958,2016,Hochsauerlandkreis,23151.0,Nordrhein-Westfalen,NW
5962,200205962,2002,Märkischer Kreis,18599.0,Nordrhein-Westfalen,NW
5962,200505962,2005,Märkischer Kreis,20476.0,Nordrhein-Westfalen,NW
5962,200905962,2009,Märkischer Kreis,21716.0,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,22518.0,Nordrhein-Westfalen,NW
5962,201605962,2016,Märkischer Kreis,24137.0,Nordrhein-Westfalen,NW
5966,200205966,2002,Kreis Olpe,19736.0,Nordrhein-Westfalen,NW
5966,200505966,2005,Kreis Olpe,22418.0,Nordrhein-Westfalen,NW
5966,200905966,2009,Kreis Olpe,23642.0,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,24746.0,Nordrhein-Westfalen,NW
5966,201605966,2016,Kreis Olpe,27132.0,Nordrhein-Westfalen,NW
5970,200205970,2002,Kreis Siegen-Wittgenstein,17317.0,Nordrhein-Westfalen,NW
5970,200505970,2005,Kreis Siegen-Wittgenstein,19010.0,Nordrhein-Westfalen,NW
5970,200905970,2009,Kreis Siegen-Wittgenstein,20573.0,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,21900.0,Nordrhein-Westfalen,NW
5970,201605970,2016,Kreis Siegen-Wittgenstein,23134.0,Nordrhein-Westfalen,NW
5974,200205974,2002,Kreis Soest,16042.0,Nordrhein-Westfalen,NW
5974,200505974,2005,Kreis Soest,17084.0,Nordrhein-Westfalen,NW
5974,200905974,2009,Kreis Soest,18492.0,Nordrhein-Westfalen,NW
5974,201305974,2013,Kreis Soest,20972.0,Nordrhein-Westfalen,NW
5974,201605974,2016,Kreis Soest,21845.0,Nordrhein-Westfalen,NW
5978,200205978,2002,Kreis Unna,15649.0,Nordrhein-Westfalen,NW
5978,200505978,2005,Kreis Unna,16665.0,Nordrhein-Westfalen,NW
5978,200905978,2009,Kreis Unna,17596.0,Nordrhein-Westfalen,NW
5978,201305978,2013,Kreis Unna,19509.0,Nordrhein-Westfalen,NW
5978,201605978,2016,Kreis Unna,20806.0,Nordrhein-Westfalen,NW
6411,200206411,2002,Darmstadt,18307.0,Hessen,HE
6411,200506411,2005,Darmstadt,19336.0,Hessen,HE
6411,200906411,2009,Darmstadt,20959.0,Hessen,HE
6411,201306411,2013,Darmstadt,21038.0,Hessen,HE
6411,201606411,2016,Darmstadt,21986.0,Hessen,HE
6412,200206412,2002,Frankfurt (Main),18215.0,Hessen,HE
6412,200506412,2005,Frankfurt (Main),19186.0,Hessen,HE
6412,200906412,2009,Frankfurt (Main),19587.0,Hessen,HE
6412,201306412,2013,Frankfurt (Main),20787.0,Hessen,HE
6412,201606412,2016,Frankfurt (Main),21690.0,Hessen,HE
6413,200206413,2002,Offenbach am Main,15943.0,Hessen,HE
6413,200506413,2005,Offenbach am Main,16659.0,Hessen,HE
6413,200906413,2009,Offenbach am Main,17205.0,Hessen,HE
6413,201306413,2013,Offenbach am Main,17618.0,Hessen,HE
6413,201606413,2016,Offenbach am Main,17687.0,Hessen,HE
6414,200206414,2002,Wiesbaden,19284.0,Hessen,HE
6414,200506414,2005,Wiesbaden,20148.0,Hessen,HE
6414,200906414,2009,Wiesbaden,20369.0,Hessen,HE
6414,201306414,2013,Wiesbaden,21721.0,Hessen,HE
6414,201606414,2016,Wiesbaden,22928.0,Hessen,HE
6431,200206431,2002,Landkreis Bergstrasse,17484.0,Hessen,HE
6431,200506431,2005,Landkreis Bergstrasse,18635.0,Hessen,HE
6431,200906431,2009,Landkreis Bergstrasse,19842.0,Hessen,HE
6431,201306431,2013,Landkreis Bergstrasse,22023.0,Hessen,HE
6431,201606431,2016,Landkreis Bergstrasse,23330.0,Hessen,HE
6432,200206432,2002,Landkreis Darmstadt-Dieburg,18098.0,Hessen,HE
6432,200506432,2005,Landkreis Darmstadt-Dieburg,19008.0,Hessen,HE
6432,200906432,2009,Landkreis Darmstadt-Dieburg,20433.0,Hessen,HE
6432,201306432,2013,Landkreis Darmstadt-Dieburg,22333.0,Hessen,HE
6432,201606432,2016,Landkreis Darmstadt-Dieburg,23714.0,Hessen,HE
6433,200206433,2002,Landkreis Groß-Gerau,17159.0,Hessen,HE
6433,200506433,2005,Landkreis Groß-Gerau,17685.0,Hessen,HE
6433,200906433,2009,Landkreis Groß-Gerau,18446.0,Hessen,HE
6433,201306433,2013,Landkreis Groß-Gerau,19867.0,Hessen,HE
6433,201606433,2016,Landkreis Groß-Gerau,20738.0,Hessen,HE
6434,200206434,2002,Hochtaunuskreis,26691.0,Hessen,HE
6434,200506434,2005,Hochtaunuskreis,26728.0,Hessen,HE
6434,200906434,2009,Hochtaunuskreis,27218.0,Hessen,HE
6434,201306434,2013,Hochtaunuskreis,29710.0,Hessen,HE
6434,201606434,2016,Hochtaunuskreis,31612.0,Hessen,HE
6435,200206435,2002,Main-Kinzig-Kreis,17476.0,Hessen,HE
6435,200506435,2005,Main-Kinzig-Kreis,18302.0,Hessen,HE
6435,200906435,2009,Main-Kinzig-Kreis,19410.0,Hessen,HE
6435,201306435,2013,Main-Kinzig-Kreis,22008.0,Hessen,HE
6435,201606435,2016,Main-Kinzig-Kreis,22932.0,Hessen,HE
6436,200206436,2002,Main-Taunus-Kreis,21873.0,Hessen,HE
6436,200506436,2005,Main-Taunus-Kreis,22800.0,Hessen,HE
6436,200906436,2009,Main-Taunus-Kreis,23292.0,Hessen,HE
6436,201306436,2013,Main-Taunus-Kreis,25377.0,Hessen,HE
6436,201606436,2016,Main-Taunus-Kreis,26641.0,Hessen,HE
6437,200206437,2002,Odenwaldkreis,15778.0,Hessen,HE
6437,200506437,2005,Odenwaldkreis,16770.0,Hessen,HE
6437,200906437,2009,Odenwaldkreis,17813.0,Hessen,HE
6437,201306437,2013,Odenwaldkreis,19941.0,Hessen,HE
6437,201606437,2016,Odenwaldkreis,21418.0,Hessen,HE
6438,200206438,2002,Landkreis Offenbach,19910.0,Hessen,HE
6438,200506438,2005,Landkreis Offenbach,20272.0,Hessen,HE
6438,200906438,2009,Landkreis Offenbach,20960.0,Hessen,HE
6438,201306438,2013,Landkreis Offenbach,22483.0,Hessen,HE
6438,201606438,2016,Landkreis Offenbach,23449.0,Hessen,HE
6439,200206439,2002,Rheingau-Taunus-Kreis,18569.0,Hessen,HE
6439,200506439,2005,Rheingau-Taunus-Kreis,19207.0,Hessen,HE
6439,200906439,2009,Rheingau-Taunus-Kreis,20863.0,Hessen,HE
6439,201306439,2013,Rheingau-Taunus-Kreis,23235.0,Hessen,HE
6439,201606439,2016,Rheingau-Taunus-Kreis,24671.0,Hessen,HE
6440,200206440,2002,Wetteraukreis,17943.0,Hessen,HE
6440,200506440,2005,Wetteraukreis,18585.0,Hessen,HE
6440,200906440,2009,Wetteraukreis,19752.0,Hessen,HE
6440,201306440,2013,Wetteraukreis,21850.0,Hessen,HE
6440,201606440,2016,Wetteraukreis,22944.0,Hessen,HE
6531,200206531,2002,Landkreis Gießen,16013.0,Hessen,HE
6531,200506531,2005,Landkreis Gießen,16923.0,Hessen,HE
6531,200906531,2009,Landkreis Gießen,17833.0,Hessen,HE
6531,201306531,2013,Landkreis Gießen,19310.0,Hessen,HE
6531,201606531,2016,Landkreis Gießen,20153.0,Hessen,HE
6532,200206532,2002,Lahn-Dill Kreis,17101.0,Hessen,HE
6532,200506532,2005,Lahn-Dill Kreis,18136.0,Hessen,HE
6532,200906532,2009,Lahn-Dill Kreis,19427.0,Hessen,HE
6532,201306532,2013,Lahn-Dill Kreis,21165.0,Hessen,HE
6532,201606532,2016,Lahn-Dill Kreis,22884.0,Hessen,HE
6533,200206533,2002,Landkreis Limburg-Weilburg,16000.0,Hessen,HE
6533,200506533,2005,Landkreis Limburg-Weilburg,16896.0,Hessen,HE
6533,200906533,2009,Landkreis Limburg-Weilburg,18346.0,Hessen,HE
6533,201306533,2013,Landkreis Limburg-Weilburg,20050.0,Hessen,HE
6533,201606533,2016,Landkreis Limburg-Weilburg,21348.0,Hessen,HE
6534,200206534,2002,Landkreis Marburg-Biedenkopf,15055.0,Hessen,HE
6534,200506534,2005,Landkreis Marburg-Biedenkopf,15958.0,Hessen,HE
6534,200906534,2009,Landkreis Marburg-Biedenkopf,17310.0,Hessen,HE
6534,201306534,2013,Landkreis Marburg-Biedenkopf,19281.0,Hessen,HE
6534,201606534,2016,Landkreis Marburg-Biedenkopf,20485.0,Hessen,HE
6535,200206535,2002,Vogelsbergkreis,15425.0,Hessen,HE
6535,200506535,2005,Vogelsbergkreis,16343.0,Hessen,HE
6535,200906535,2009,Vogelsbergkreis,17436.0,Hessen,HE
6535,201306535,2013,Vogelsbergkreis,20595.0,Hessen,HE
6535,201606535,2016,Vogelsbergkreis,21608.0,Hessen,HE
6611,200206611,2002,Kassel,15193.0,Hessen,HE
6611,200506611,2005,Kassel,16039.0,Hessen,HE
6611,200906611,2009,Kassel,16990.0,Hessen,HE
6611,201306611,2013,Kassel,18013.0,Hessen,HE
6611,201606611,2016,Kassel,18890.0,Hessen,HE
6631,200206631,2002,Landkreis Fulda,15961.0,Hessen,HE
6631,200506631,2005,Landkreis Fulda,17048.0,Hessen,HE
6631,200906631,2009,Landkreis Fulda,18220.0,Hessen,HE
6631,201306631,2013,Landkreis Fulda,20415.0,Hessen,HE
6631,201606631,2016,Landkreis Fulda,22038.0,Hessen,HE
6632,200206632,2002,Landkreis Hersfeld-Rotenburg,15543.0,Hessen,HE
6632,200506632,2005,Landkreis Hersfeld-Rotenburg,16357.0,Hessen,HE
6632,200906632,2009,Landkreis Hersfeld-Rotenburg,17697.0,Hessen,HE
6632,201306632,2013,Landkreis Hersfeld-Rotenburg,19501.0,Hessen,HE
6632,201606632,2016,Landkreis Hersfeld-Rotenburg,20459.0,Hessen,HE
6633,200206633,2002,Landkreis Kassel (Land),15988.0,Hessen,HE
6633,200506633,2005,Landkreis Kassel (Land),17152.0,Hessen,HE
6633,200906633,2009,Landkreis Kassel (Land),18731.0,Hessen,HE
6633,201306633,2013,Landkreis Kassel (Land),20716.0,Hessen,HE
6633,201606633,2016,Landkreis Kassel (Land),22015.0,Hessen,HE
6634,200206634,2002,Schwalm-Eder Kreis,15180.0,Hessen,HE
6634,200506634,2005,Schwalm-Eder Kreis,16143.0,Hessen,HE
6634,200906634,2009,Schwalm-Eder Kreis,17461.0,Hessen,HE
6634,201306634,2013,Schwalm-Eder Kreis,19503.0,Hessen,HE
6634,201606634,2016,Schwalm-Eder Kreis,20898.0,Hessen,HE
6635,200206635,2002,Landkreis Waldeck-Frankenberg,16000.0,Hessen,HE
6635,200506635,2005,Landkreis Waldeck-Frankenberg,17014.0,Hessen,HE
6635,200906635,2009,Landkreis Waldeck-Frankenberg,17891.0,Hessen,HE
6635,201306635,2013,Landkreis Waldeck-Frankenberg,19787.0,Hessen,HE
6635,201606635,2016,Landkreis Waldeck-Frankenberg,21041.0,Hessen,HE
6636,200206636,2002,Werra-Meißner Kreis,15097.0,Hessen,HE
6636,200506636,2005,Werra-Meißner Kreis,15779.0,Hessen,HE
6636,200906636,2009,Werra-Meißner Kreis,16947.0,Hessen,HE
6636,201306636,2013,Werra-Meißner Kreis,18685.0,Hessen,HE
6636,201606636,2016,Werra-Meißner Kreis,19785.0,Hessen,HE
7111,200207111,2002,Koblenz,17236.0,Rheinland-Pfalz,RP
7111,200507111,2005,Koblenz,17858.0,Rheinland-Pfalz,RP
7111,200907111,2009,Koblenz,19051.0,Rheinland-Pfalz,RP
7111,201307111,2013,Koblenz,19950.0,Rheinland-Pfalz,RP
7111,201607111,2016,Koblenz,21029.0,Rheinland-Pfalz,RP
7131,200207131,2002,Landkreis Ahrweiler,16962.0,Rheinland-Pfalz,RP
7131,200507131,2005,Landkreis Ahrweiler,18313.0,Rheinland-Pfalz,RP
7131,200907131,2009,Landkreis Ahrweiler,20217.0,Rheinland-Pfalz,RP
7131,201307131,2013,Landkreis Ahrweiler,21552.0,Rheinland-Pfalz,RP
7131,201607131,2016,Landkreis Ahrweiler,22962.0,Rheinland-Pfalz,RP
7132,200207132,2002,Landkreis Altenkirchen (Westerwald),15691.0,Rheinland-Pfalz,RP
